"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Bijan Robinson ",,"RB1","1","1","1.0","0.0"
"2","Bryce Young ",,"QB1","2","4","3.0","1.0"
"3","Jahmyr Gibbs ",,"RB2","3","4","3.5","0.5"
"4","TreVeyon Henderson ",,"RB3","3","7","5.0","2.0"
"5","CJ Stroud ",,"QB2","2","9","5.5","3.5"
"6","Caleb Williams ",,"QB3","5","6","5.5","0.5"
"7","Jaxon Smith-Njigba ",,"WR1","7","10","8.5","1.5"
"8","Zach Evans ",,"RB4","8","15","11.5","3.5"
"9","Jordan Addison ",,"WR2","11","13","12.0","1.0"
"10","Tank Bigsby ",,"RB5","10","15","12.5","2.5"
"11","Kayshon Boutte ",,"WR3","8","21","14.5","6.5"
"12","Parker Washington ",,"WR4","14","23","18.5","4.5"
"13","Will Shipley ",,"RB6","18","19","18.5","0.5"
"14","Quinn Ewers ",,"QB4","5","34","19.5","14.5"
"15","Michael Mayer ",,"TE1","17","22","19.5","2.5"
"16","Jacorey Brooks ",,"WR5","11","31","21.0","10.0"
"17","Sean Tucker ",,"RB7","19","23","21.0","2.0"
"18","Joshua Downs ",,"WR6","21","28","24.5","3.5"
"19","Jaxson Dart ",,"QB5","13","37","25.0","12.0"
"20","Xavier Worthy ",,"WR7","14","36","25.0","11.0"
"21","Emeka Egbuka ",,"WR8","17","34","25.5","8.5"
"22","Donovan Edwards ",,"RB8","24","29","26.5","2.5"
"23","Marvin Mims ",,"WR9","27","30","28.5","1.5"
"24","Jermaine Burton ",,"WR10","27","33","30.0","3.0"
"25","Marvin Harrison Jr. ",,"WR11","12","50","31.0","19.0"
"26","Will Levis ",,"QB6","6","57","31.5","25.5"
"27","Brock Bowers ",,"TE2","16","49","32.5","16.5"
"28","Quentin Johnston ",,"WR12","22","43","32.5","10.5"
"29","Lovasea Carroll ",,"RB9","9","9","9.0","0.0"
"30","Demond Demas ",,"WR13","12","12","12.0","0.0"
"31","JoJo Earle ",,"WR14","29","42","35.5","6.5"
"32","Rakim Jarrett ",,"WR15","31","41","36.0","5.0"
"33","Mario Williams ",,"WR16","26","48","37.0","11.0"
"34","LJ Johnson ",,"RB10","32","42","37.0","5.0"
"35","Devon Achane ",,"RB11","16","74","45.0","29.0"
"36","Deuce Vaughn ",,"RB12","18","100","59.0","41.0"
"37","Beaux Collins ",,"WR17","26","52","39.0","13.0"
"38","Tyler Buchner ",,"QB7","33","45","39.0","6.0"
"39","Braelon Allen ",,"RB13","20","20","20.0","0.0"
"40","Camar Wheaton ",,"RB14","20","101","60.5","40.5"
"41","DJ Uiagalelei ",,"QB8","24","67","45.5","21.5"
"42","Corey Kiner ",,"RB15","25","25","25.0","0.0"
"43","Nicholas Singleton ",,"RB16","25","25","25.0","0.0"
"44","Raheim Sanders ",,"RB17","28","28","28.0","0.0"
"45","Julian Fleming ",,"WR18","30","30","30.0","0.0"
"46","Tyler Van Dyke ",,"QB9","32","32","32.0","0.0"
"47","Armoni Goodwin ",,"RB18","35","35","35.0","0.0"
"48","Hendon Hooker ",,"QB10","35","35","35.0","0.0"
"49","Branson Robinson ",,"RB19","36","36","36.0","0.0"
"50","Jaydon Blue ",,"RB20","37","37","37.0","0.0"
"51","Jalen Milroe ",,"QB11","38","38","38.0","0.0"
"52","Alton McCaskill ",,"RB21","38","38","38.0","0.0"
"53","Xzavier Henderson ",,"WR19","39","39","39.0","0.0"
"54","Blake Corum ",,"RB22","39","39","39.0","0.0"
"55","Arik Gilbert ",,"TE3","40","40","40.0","0.0"
"56","Drew Allar ",,"QB12","40","40","40.0","0.0"
"57","Kamarro Edmonds ",,"RB23","41","41","41.0","0.0"
"58","Devin Neal ",,"RB24","43","43","43.0","0.0"
"59","Agiye Hall ",,"WR20","44","44","44.0","0.0"
