"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Josh Allen",BUF,"QB1","1","3","1.8","0.6"
"2",1,"Jonathan Taylor",IND,"RB1","1","8","2.9","2.2"
"3",1,"Patrick Mahomes II",KC,"QB2","2","10","3.1","1.6"
"4",1,"Justin Herbert",LAC,"QB3","3","10","5.6","2.1"
"5",2,"Justin Jefferson",MIN,"WR1","1","11","7.5","2.5"
"6",2,"Ja'Marr Chase",CIN,"WR2","2","11","7.8","2.8"
"7",2,"Najee Harris",PIT,"RB2","4","15","8.2","3.7"
"8",2,"Joe Burrow",CIN,"QB4","4","26","11.3","6.0"
"9",2,"D'Andre Swift",DET,"RB3","5","28","12.0","6.3"
"10",2,"Javonte Williams",DEN,"RB4","4","27","12.3","6.1"
"11",2,"Christian McCaffrey",CAR,"RB5","4","24","12.8","6.4"
"12",3,"Lamar Jackson",BAL,"QB5","4","29","14.3","6.3"
"13",3,"Kyler Murray",ARI,"QB6","5","35","14.5","8.2"
"14",3,"A.J. Brown",TEN,"WR3","12","27","16.7","3.9"
"15",3,"Cooper Kupp",LAR,"WR4","10","34","17.9","6.4"
"16",3,"Austin Ekeler",LAC,"RB6","7","40","18.1","8.2"
"17",3,"Kyle Pitts",ATL,"TE1","7","34","19.2","5.5"
"18",3,"CeeDee Lamb",DAL,"WR5","11","32","20.1","6.0"
"19",3,"Joe Mixon",CIN,"RB7","11","35","20.9","8.0"
"20",4,"Deshaun Watson",CLE,"QB7","5","58","24.4","14.1"
"21",4,"Dalvin Cook",MIN,"RB8","12","54","25.0","9.8"
"22",4,"Dak Prescott",DAL,"QB8","8","44","25.0","8.1"
"23",4,"Mark Andrews",BAL,"TE2","18","45","25.8","6.6"
"24",4,"Davante Adams",LV,"WR6","15","40","25.8","6.7"
"25",4,"Alvin Kamara",NO,"RB9","11","45","27.4","9.2"
"26",4,"Antonio Gibson",WAS,"RB10","12","55","28.1","11.5"
"27",4,"Deebo Samuel",SF,"WR7","15","42","29.8","8.5"
"28",4,"Tyreek Hill",MIA,"WR8","15","43","30.7","8.3"
"29",4,"Stefon Diggs",BUF,"WR9","18","40","30.9","6.9"
"30",4,"Russell Wilson",DEN,"QB9","14","49","32.1","10.5"
"31",4,"Nick Chubb",CLE,"RB11","16","58","32.1","11.1"
"32",5,"Tee Higgins",CIN,"WR10","19","48","34.1","7.6"
"33",5,"Jaylen Waddle",MIA,"WR11","18","47","34.2","7.7"
"34",5,"Trey Lance",SF,"QB10","17","57","34.9","11.1"
"35",5,"D.K. Metcalf",SEA,"WR12","19","49","35.3","8.3"
"36",5,"Cam Akers",LAR,"RB12","22","64","37.6","12.0"
"37",5,"Justin Fields",CHI,"QB11","20","61","39.1","11.2"
"38",5,"Derrick Henry",TEN,"RB13","15","67","40.6","13.7"
"39",5,"Saquon Barkley",NYG,"RB14","22","65","40.9","13.0"
"40",5,"Diontae Johnson",PIT,"WR13","34","50","42.1","4.0"
"41",5,"Trevor Lawrence",JAC,"QB12","14","71","42.3","15.2"
"42",5,"DJ Moore",CAR,"WR14","30","56","42.5","5.7"
"43",5,"Matthew Stafford",LAR,"QB13","21","60","44.1","10.0"
"44",5,"Jalen Hurts",PHI,"QB14","19","63","44.8","10.8"
"45",5,"Chris Godwin",TB,"WR15","38","59","45.1","4.3"
"46",6,"Terry McLaurin",WAS,"WR16","37","56","46.1","4.3"
"47",6,"J.K. Dobbins",BAL,"RB15","26","84","46.8","17.0"
"48",6,"Travis Kelce",KC,"TE3","20","78","51.4","19.4"
"49",6,"Aaron Rodgers",GB,"QB15","22","74","52.0","11.4"
"50",6,"George Kittle",SF,"TE4","27","78","52.2","17.5"
"51",6,"Elijah Moore",NYJ,"WR17","40","79","52.5","9.1"
"52",6,"David Montgomery",CHI,"RB16","30","82","53.4","12.8"
"53",6,"Mike Evans",TB,"WR18","41","71","54.5","6.9"
"54",6,"DeVonta Smith",PHI,"WR19","42","78","55.4","9.9"
"55",6,"Jerry Jeudy",DEN,"WR20","37","76","55.7","9.8"
